Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: กลุ่มนักเรียนชอบไปเดินเล่นกับอาจารย์ในช่วงเย็น เพราะอากาศมันเย็นสบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
คำแปล:","Comment: The students like to go for a walk with their teacher in the evening because the weather is cool, they get to exercise and the forest around the path makes the air really good.","Comment: The students like to go for a walk with their teacher in the evening because the weather is cool, they get to exercise and the forest around the path makes the air really good.","The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing."
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ขับรถมอเตอร์ไซไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านใหม่ ไม่อร่อยเลย จะไม่ไปซื้ออีกแล้ว
คำแปล:","Comment: I rode my motorcycle to buy coffee at the corner of the alley, but I found out that my favorite shop was closed. So I rode to a new shop, but it wasn't tasty. I won't go there again.","Comment: I rode my motorcycle to buy coffee at the corner of the alley, but I found out that my favorite shop was closed. So I rode to a new shop, but it wasn't tasty. I won't go there again.","I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again."
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ฉันอยากสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉันเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายสอบไม่ติด เสียใจมาก
คำแปล:","Comment: I want to apply to Suankularb School because I think it's a good school. So, I have been studying hard to pass the entrance exam. Unfortunately, I didn't pass. I'm very disappointed.","Comment: I want to apply to Suankularb School because I think it's a good school. So, I have been studying hard to pass the entrance exam. Unfortunately, I didn't pass. I'm very disappointed.","I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed."
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกเสียดายเงิน เลยไปเที่ยวทะเลในไทยแทน อากาศก็ดี ราคาก็ถูก ดีกว่าเยอะ ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจ
คำแปล:","My friends around me love to travel abroad, but they feel sorry for the money, so they go to the beach in Thailand instead. The weather is good and the price is cheap, much better. Why do we have to go abroad anyway? I don't understand.","My friends around me love to travel abroad, but they feel sorry for the money, so they go to the beach in Thailand instead. The weather is good and the price is cheap, much better. Why do we have to go abroad anyway? I don't understand.","My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad."
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: พวกเขากำลังช่วยกันทำความสะอาดบ้านเพราะที่บ้านมีแต่โคลนเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเลย
คำแปล:",Comment: They are helping each other clean the house because the house is full of mud everywhere after the flood that happened last week. It will take a long time to clean up.,Comment: They are helping each other clean the house because the house is full of mud everywhere after the flood that happened last week. It will take a long time to clean up.,They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: พ่อกับแม่ชอบไปทำงานที่สวนมากเพราะที่สวนบรรยากาศดีและสงบ รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
คำแปล:","Father and mother love to work at the garden because the garden has a nice and peaceful atmosphere, as well as beautiful mountain views that look like stepping into another world.","Father and mother love to work at the garden because the garden has a nice and peaceful atmosphere, as well as beautiful mountain views that look like stepping into another world.","Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม
คำแปล:","Comment: Northern Thai cuisine is famous for its spicy soup dish called ""Nam Phrik Num"". The main ingredients are bird's eye chilies, red onion, and garlic.","Comment: Northern Thai cuisine is famous for its spicy soup dish called ""Nam Phrik Num"". The main ingredients are bird's eye chilies, red onion, and garlic.","Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic."
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: พวกเราตอนเที่ยงมีใครสนใจไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรไหม?
คำแปล:","Stomach is hungry at noon, who wants to go eat Som Tam and Grilled Chicken at Khun Kruea's restaurant?","Stomach is hungry at noon, who wants to go eat Som Tam and Grilled Chicken at Khun Kruea's restaurant?",Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งวิ่งควาย อากาศร้อนมาก กลับบ้านมาเลยนอนพักเพราะปวดหัว
คำแปล:",Comment: Today woke up early because I was going to watch the buffalo racing. The weather was very hot. Came back home and took a nap because I had a headache.,Comment: Today woke up early because I was going to watch the buffalo racing. The weather was very hot. Came back home and took a nap because I had a headache.,"I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache."
"แปลข้อความต่อไปนี้จาก ภาษาไทย เป็น ภาษาอังกฤษ ให้การแปลของคุณโดยตรงโดยไม่ต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ทำไมฉันต้องทำงานนี้อีกแล้ว แก้มาหลายรอบแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำอะไรอยู่ ฉันเหนื่อยมากนะ
คำแปล:","Stupid work! I've already corrected it multiple times, but it's still not done. No one knows what they're doing when they order me to fix it. I'm so tired.","Stupid work! I've already corrected it multiple times, but it's still not done. No one knows what they're doing when they order me to fix it. I'm so tired.","Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted."
