Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: กลุ่มนักเฮียนชอบไปเตียวเล่นกับอาจารย์ในช่วงเมื่อแลง เพราะอากาศมันเย็นสบายได้ออกกำลังกายและป่าไม้รอบๆตางเตียวก่ยะฮื้ออากาศดีมากๆโตย
คำแปล:","A group of students likes to go for a walk with their teacher in the evening because the weather is cool and comfortable, they get exercise, and the surrounding forest makes the air very good as well.
","A group of students likes to go for a walk with their teacher in the evening because the weather is cool and comfortable, they get exercise, and the surrounding forest makes the air very good as well.
","The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ขับรถเครื่องไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าฮ้านประจำตี้ชอบกิ๋นมันปิดไปแล้ว ก่อเลยขับรถไปซื้อฮ้านใหม่ บ่อลำเลย จะบ่ไปซื้อแหมแล้ว
คำแปล:","Drove the motorcycle to buy coffee at the entrance of the alley, but found that the usual shop I like to eat at was closed. So, I drove to buy at a new shop, it wasn't good at all, won't buy there again.
","Drove the motorcycle to buy coffee at the entrance of the alley, but found that the usual shop I like to eat at was closed. So, I drove to buy at a new shop, it wasn't good at all, won't buy there again.
","I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ฮาอยากจะสอบเข้าโฮงเฮียนสวนกุหลาบเพราะกึดว่าเป็นโฮงเฮียนตี้ดี ฮาเลยตั้งใจเฮียนนักๆ เพื่อตี้จะสอบเข้าตี้นี่หื้อได้ สุดท้ายสอบบ่ติด เสียใจขนาด
คำแปล:","I wanted to get into Suankularb Wittayalai School because I thought it was a good school. So I studied hard to get in here. In the end, I didn't pass the exam. I was very sad.
","I wanted to get into Suankularb Wittayalai School because I thought it was a good school. So I studied hard to get in here. In the end, I didn't pass the exam. I was very sad.
","I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: จะหมู่รอบตัวชอบไปแอ่วเมืองนอก แต่ฮู้สึกเสียดายเงิน เลยไปแอ่วทะเลในไทยแทน อากาศก่อดี ราคาก่ถูก ดีกว่าเยอะ เยียะหยังต้องไปเมืองนอกโตย บ่เข้าใจ
คำแปล:","Here's a direct translation of the Northern Thai text:

""The people around me like to travel abroad, but I feel like it's a waste of money, so I travel to the sea in Thailand instead. The weather is good, the price is cheap, much better. Why do I need to go abroad too? I don't understand.""
","Here's a direct translation of the Northern Thai text:

""The people around me like to travel abroad, but I feel like it's a waste of money, so I travel to the sea in Thailand instead. The weather is good, the price is cheap, much better. Why do I need to go abroad too? I don't understand.""
","My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: สูเขากำลังช่วยกันทำความสะอาดบ้านเพราะตี้บ้านมีแต่ขี้เปอะเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาติ้ดตี้ผ่านมา ต้องทำความสะอาดแหมเมินเลย
คำแปล:","They are helping each other clean the house because the house is full of mud after the flood event last week. It will take a long time to clean.
","They are helping each other clean the house because the house is full of mud after the flood event last week. It will take a long time to clean.
",They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: ป้อกับแม่ชอบไปยะกั๋นตี้สวนมากเพราะตี้สวนบรรยากาศดีและสงบ รวมไปถึงวิวเขาตี้ดูสวยงามเหมือนหลุดเข้าไปแหมโลก
คำแปล:","พ่อกับแม่ชอบไปยะกั๋นตี้สวนมากเพราะตี้สวนบรรยากาศดีและสงบ รวมไปถึงวิวเขาตี้ดูสวยงามเหมือนหลุดเข้าไปแหมโลก

Direct translation: Father and mother like to go do things at the garden a lot because at the garden the atmosphere is good and peaceful, including the mountain view that looks beautiful like falling into another world.
","phokabaemchobaipyakantiswnmakephraatiswnbrryakasdiaelasngb rwmaipthuengwiwekhatiduswyngamehmueonhludekhaaipaehmolk

Direct translation: Father and mother like to go do things at the garden a lot because at the garden the atmosphere is good and peaceful, including the mountain view that looks beautiful like falling into another world.
","Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม
คำแปล:","Nam prik noom menu is a famous food of the northern region, with main ingredients being chili peppers, shallots, and garlic.
","Nam prik noom menu is a famous food of the northern region, with main ingredients being chili peppers, shallots, and garlic.
","Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: หมู่เฮาตอนเที่ยงมีไผสนใจไปกินส้มตำไก่ย่างตี๋ร้านครัวคุณกรก่อ?
คำแปล:","Who's interested in going to eat Som Tum and grilled chicken at Krua Khun Korn restaurant at noon?
","Who's interested in going to eat Som Tum and grilled chicken at Krua Khun Korn restaurant at noon?
",Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งล่นควาย อากาศฮ้อนขนาด ปิ๊กบ้านมาเลยนอนพักเพราะปวดหัว
คำแปล:","Today I woke up very early because I was going to watch a buffalo race. The weather was extremely hot. When I got back home, I took a nap because I had a headache.
","Today I woke up very early because I was going to watch a buffalo race. The weather was extremely hot. When I got back home, I took a nap because I had a headache.
","I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache."
"แปลข้อความต่อไปนี้จาก ภาษาเหนือ เป๋น ภาษาอังกฤษ หื้อตั๋วแปลโดยตรงโดยตี้บะต้องมีข้อมูลเพิ่มเติมใดๆ
ข้อความ: เยี๊ยะหยังฮาต้องยะกั๋นนี้แหมแล้ว แก้มาหลายเตื้อละ บ่แล้วสักกำ คนสั่งหื้อแก้ก่บ่ฮู้ว่าตัวเก่ายะหยังอยู่ ฮาอิ๊ดขนาด
คำแปล:","What are we doing with this again? It's been revised many times, but it's still not done. The person who ordered the revisions doesn't even know what they're doing. I'm so frustrated.
","What are we doing with this again? It's been revised many times, but it's still not done. The person who ordered the revisions doesn't even know what they're doing. I'm so frustrated.
","Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted."
