Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:"," the group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.

คำแปล: กลุ่มของนักเรียนชอบเดินเที่ยวในตอนเย็นกับครูของพวกเขาเพราะอากาศเย็น พวกเขาได้รับการออกกำลังกาย และต้นไม้รอบ ๆ ทางเดินทำให้ลมรู้สึกสดชื่นมาก"," the group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.

khamaepl: klumkhongnakeriynchobedinethiywaintoneynkabkhrukhongphwkekhaephraaoakaseyn phwkekhaaidrabkarookkamlangkay aelatnaimrob - thangedinthamaihlmrusueksdchuenmak",โบ๋นักเรียนชอบไปเดินเล่นกับอาจารย์หวันเย็น เพราะอากาศมันเย็นบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:",ขี้นขี่รถจักรยานยนต์ไปซื้อกาแฟที่ปากซอย แต่พบว่าร้านที่ชอบปิด ฉันเลยไปลองร้านใหม่แทน แต่ไม่อร่อยเลย ฉันจะไม่ไปซื้อที่นั่นอีก,khinkhirthchakryanyntaipsueokaaefthipaksoy aetphbwaranthichobpid chanelyaiplongranaihmaethn aetaimoroyely chanchaaimaipsueothinanoik,ขับรถเครื่องไปซื้อกาแควที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านเอิน ไม่หร่อยเลย จะไม่หลบซื้ออีกแล้ว หร๊าบแล้ว ร้านนี้
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:", thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam, thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam nai thel cha bai nai suankularb school yuu kwaam,ฉ้านอยากอีสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉ้านเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายฉ้านสอบไม่ติด เสียใจหนัดเหนียน 
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:",เพื่อนๆทั้งหมดของฉันชอบเดินทางไปต่างประเทศ แต่ฉันรู้สึกว่ามันเป็นการเสียเงินเปล่า ฉันจึงชอบไปที่ชายหาดในประเทศไทยมากกว่า อากาศดี ราคาก็ถูก มันดีกว่ามาก ฉันไม่เข้าใจจริงๆว่าทำไมคนถึงไปต่างประเทศ,ephueon-thanghmdkhongchanchobedinthangaiptangpraeths aetchanrusuekwamanepnkaresiyenginepla chanchuengchobaipthichayhadainpraethsaithymakkwa oakasdi rakhakthuk mandikwamak chanaimekhaaichchring-wathamaimkhnthuengaiptangpraeths,โบ๋เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกดายของเบี้ย เลยไปเที่ยวเลในไทยแทน อากาศก็ดี ไม่เปลื้องเบี้ย ดีกว่าลุย ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจโบ๋นี้
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:",เขามาช่วยกันทำความสะอาดบ้าน เพราะมันเต็มไปด้วยโคลนหลังจากเหตุการณ์น้ำท่วมเมื่อสัปดาห์ที่แล้ว มันจะใช้เวลานานในการทำความสะอาด,ekhamachwykanthamkhwamsaoadban ephraamanetmaipdwyokhlnhlangchakehtukarnnamthwmemueosapdahthiaelw manchaaichewlananainkarthamkhwamsaoad,โบ๋เขากำลังช่วยกันทำความสะอาดเริ่นเพราะที่เริ่นยังโคลนจังเสีย หลังจากเกิดเหตุการณ์น้ำท่วมแร็กอาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเหลย
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:", thel: พ่อแม่ชอบทำงานในสวนเพราะบรรยากาศดีและสุขสงบ นอกจากนี้ยังมีวิวภูเขาที่สวยงามรู้สึกเหมือนก้าวเข้าสู่โลกอื่น, thel: phoaemchobthamnganainswnephraabrryakasdiaelasukhsngb nokchakniyangmiwiwphuekhathiswyngamrusuekehmueonkawekhasuolkouen,พ่อกับแม่ชอบไปทำงานสวนหนัดเพราะที่สวนบรรยากาศดีไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:","น้ำพริกหนุ่มเป็นอาหารที่มีชื่อเสียงจากภูมิภาคเหนือ มีส่วนผสมหลักคือพริก, หอมใหญ่, และกระเทียม.","namphrikhnumepnoaharthimichueoesiyngchakphumiphakhehnueo miswnphsmhlakkhueophrik, homaihy, aelakraethiym.",เมนูน้ำชุปหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ ดีปลี หอมเแดง หัวเทียม 
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:", thew nai khit joi piak tam ma muang krua khun korn kheun khao?, thew nai khit joi piak tam ma muang krua khun korn kheun khao?,โบ๋เรา ตอนเที่ยงยังใครที่อาดไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรมั้งม่าย?
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:"," thel: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล: ผมถูกตื่นเช้ามากวันนี้เพื่อไปดูการแข่งควาย อากาศร้อนมากจนเมื่อผมกลับบ้าน ผมต้องพักเพราะผมมีหัวใจ"," thel: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
khamaepl: phmthuktuenechamakwanniephueoaipdukaraekhngkhway oakasronmakchnemueophmklabban phmtongphakephraaphmmihawaich",วันนี้ตื่นหัวรุ่งเพราะจะไปแลแข่งแล่นควาย อากาศร้อนอีตาย หลบเริ่นมา เลยนอนพักเพราะเจ็บเบ็ดหัวแปลบ 
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:",ทำไมฉันต้องทำงานนี้อีก? ฉันแก้ไขมันหลายครั้งแล้ว แต่มันไม่เคยเสร็จสิ้น คนที่ขอให้แก้ไขไม่รู้ว่าเขาทำอะไร ฉันเหนื่อยมาก,thamaimchantongthamngannioik? chanaekaikhmanhlaykhrangaelw aetmanaimekhyesrchsin khnthikhoaihaekaikhaimruwaekhathamoaair chanehnueoymak,ไซร้ฉ้านต้องทำงานนี้แล้วหล่าว แก้มาจังเสียแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำไหร่อยู่ ฉันเหนื่อยแค่แล้ว
