Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.
คำแปล:",กลุ่มเด็กชอบไปเดินเล่นกับครูในตอนเย็น เพราะอากาศเย็นสบาย พวกเขาก็ได้ออกกำลังกาย และต้นไม้รอบๆ ทางเดินทำให้อากาศรู้สึกเย็นสบายมาก,klumedkchobaipedinelnkabkhruaintoneyn ephraaoakaseynsbay phwkekhakaidookkamlangkay aelatnaimrob- thangedinthamaihoakasrusuekeynsbaymak,โบ๋นักเรียนชอบไปเดินเล่นกับอาจารย์หวันเย็น เพราะอากาศมันเย็นบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.
คำแปล:",ข้าพเจ้าขับรถจักรยานยนต์ไปซื้อเครื่องดื่มกาแฟที่ประตูทางเข้าซอย แต่พบว่า ร้านที่ชอบไปกินก็ปิดไปแล้ว  ดังนั้น ข้าพเจ้าจึงไปลองร้านใหม่แทน  ไม่ดีเลย  ข้าพเจ้าจะไม่ไปซื้อไปที่นั่นอีก,khaphechakhabrthchakryanyntaipsueoekhrueongduemkaaefthipratuthangekhasoy aetphbwa ranthichobaipkinkpidaipaelw  dangnan khaphechachuengaiplongranaihmaethn  aimdiely  khaphechachaaimaipsueoaipthinanoik,ขับรถเครื่องไปซื้อกาแควที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านเอิน ไม่หร่อยเลย จะไม่หลบซื้ออีกแล้ว หร๊าบแล้ว ร้านนี้
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.
คำแปล:",ขอเข้าเรียนโรงเรียนสวนกุหลาบเพราะคิดว่าโรงเรียนนี้ดีมากเลย ฉันจึงเรียนหนักมากเพื่อผ่านการสอบเข้า แต่สุดท้ายไม่ผ่าน และเสียใจมาก,khoekhaeriynorngeriynswnkuhlabephraakhidwaorngeriynnidimakely chanchuengeriynhnakmakephueophankarsobekha aetsudthayaimphan aelaesiyaichmak,ฉ้านอยากอีสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉ้านเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายฉ้านสอบไม่ติด เสียใจหนัดเหนียน 
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.
คำแปล:",เพื่อนๆ ของฉันชอบเดินทางไปต่างประเทศ แต่ฉันรู้สึกว่ามันคือการเสียเงินเปล่า ฉันจึงชอบไปชายหาดในประเทศไทยมากกว่า อากาศดีๆ ราคาถูก มันคือสิ่งที่ดีกว่ามาก ฉันไม่เข้าใจว่าทำไมคนจะไปต่างประเทศ,ephueon- khongchanchobedinthangaiptangpraeths aetchanrusuekwamankhueokaresiyenginepla chanchuengchobaipchayhadainpraethsaithymakkwa oakasdi- rakhathuk mankhueosingthidikwamak chanaimekhaaichwathamaimkhnchaaiptangpraeths,โบ๋เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกดายของเบี้ย เลยไปเที่ยวเลในไทยแทน อากาศก็ดี ไม่เปลื้องเบี้ย ดีกว่าลุย ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจโบ๋นี้
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
คำแปล:",พวกเขาอยู่ช่วยกันทำความสะอาดบ้าน เพราะบ้านมีน้ำขังหลังจากเกิดน้ำท่วมเมื่อสัปดาห์ที่แล้ว มีเวลานานมากในการทำความสะอาด,phwkekhaoyuchwykanthamkhwamsaoadban ephraabanminamkhanghlangchakekidnamthwmemueosapdahthiaelw miewlananmakainkarthamkhwamsaoad,โบ๋เขากำลังช่วยกันทำความสะอาดเริ่นเพราะที่เริ่นยังโคลนจังเสีย หลังจากเกิดเหตุการณ์น้ำท่วมแร็กอาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเหลย
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.
คำแปล:",บิดาและแม่ชอบทำงานในสวนเพราะบรรยากาศดีและสงบสุข นอกจากนี้ยังมีทิวทัศน์ของภูเขา ที่เหมือนกับเดินเข้าไปในโลกอื่น,bidaaelaaemchobthamnganainswnephraabrryakasdiaelasngbsukh nokchakniyangmithiwthasnkhongphuekha thiehmueonkabedinekhaaipainolkouen,พ่อกับแม่ชอบไปทำงานสวนหนัดเพราะที่สวนบรรยากาศดีไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.
คำแปล:",Nam Prik Noom เป็นอาหารที่มีชื่อเสียงจากภาคเหนือ โดยมีส่วนผสมหลัก ได้แก่ พริกไทย หอมแดง และหอมแดง,Nam Prik Noom epnoaharthimichueoesiyngchakphakhehnueo odymiswnphsmhlak aidaek phrikaithy homaedng aelahomaedng,เมนูน้ำชุปหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ ดีปลี หอมเแดง หัวเทียม 
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
คำแปล:",ใครอยากมาร่วมกินสลัดมะละกอด้วยไก่อบกับเราที่ร้านอาหารของขุนกรน่ะ,aikhroyakmarwmkinsladmalakodwyaikobkaberathiranoaharkhongkhunkrna,โบ๋เรา ตอนเที่ยงยังใครที่อาดไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรมั้งม่าย?
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.
คำแปล:",ข้าพเจ้าลุกขึ้นมาแต่เช้าตรู่วันนี้เพื่อไปดูการแข่งควาย  อากาศร้อนมากจนเมื่อข้าพเจ้ากลับบ้าน ข้าพเจ้าเลยต้องพักผ่อนเพราะมีหัวใจวาย,khaphechalukkhuenmaaetechatruwanniephueoaipdukaraekhngkhway  oakasronmakchnemueokhaphechaklabban khaphechaelytongphakphonephraamihawaichway,วันนี้ตื่นหัวรุ่งเพราะจะไปแลแข่งแล่นควาย อากาศร้อนอีตาย หลบเริ่นมา เลยนอนพักเพราะเจ็บเบ็ดหัวแปลบ 
"แปลข้อความต่อจากนี้ ภาษาอังกฤษ เป็น ภาษาใต้ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.
คำแปล:",ทำไมฉันต้องทำงานนี้อีกครั้ง ฉันแก้ไขมันหลายครั้งแล้ว แต่ก็ยังไม่เสร็จสิ้น คนคนนั้นที่ต้องการให้ฉันแก้ไขอีกก็ไม่รู้ว่าพวกเขาอยากให้ฉันทำอย่างไร ฉันเหนื่อยมาก,thamaimchantongthamngannioikkhrang chanaekaikhmanhlaykhrangaelw aetkyangaimesrchsin khnkhnnanthitongkaraihchanaekaikhoikkaimruwaphwkekhaoyakaihchanthamoyangair chanehnueoymak,ไซร้ฉ้านต้องทำงานนี้แล้วหล่าว แก้มาจังเสียแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำไหร่อยู่ ฉันเหนื่อยแค่แล้ว
