Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋นักเรียนชอบไปเดินเล่นกับอาจารย์หวันเย็น เพราะอากาศมันเย็นบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
คำแปล:",Boi likes to walk with teacher Wan in the evening because the air is cool. It's good exercise and the forest around the path is also very good.,Boi likes to walk with teacher Wan in the evening because the air is cool. It's good exercise and the forest around the path is also very good.,"The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ขับรถเครื่องไปซื้อกาแควที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านเอิน ไม่หร่อยเลย จะไม่หลบซื้ออีกแล้ว หร๊าบแล้ว ร้านนี้
คำแปล:",ขับรถเครื่องไปซื้อกาแควที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านเอิน ไม่หร่อยเลย จะไม่หลบซื้ออีกแล้ว หร๊าบแล้ว ร้านนี้,khabrthekhrueongaipsueokaaekhwthihnapaksoy aetkphbwaranprachamthichobkinmanpidaipaelw kelykhabrthaipsueoraneoin aimhroyely chaaimhlbsueooikaelw hrabaelw ranni,"I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ฉ้านอยากอีสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉ้านเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายฉ้านสอบไม่ติด เสียใจหนัดเหนียน
คำแปล:",ฉันอยากเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉันเลยตั้งใจเรียนมากๆ เพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายฉันสอบไม่ติด เสียใจหนัก,chanoyakekhaorngeriynswnkuhlabephraakhidwaepnorngeriynthidi chanelytangaicheriynmak- ephueothichasobekhathiniaihaid sudthaychansobaimtid esiyaichhnak,"I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกดายของเบี้ย เลยไปเที่ยวเลในไทยแทน อากาศก็ดี ไม่เปลื้องเบี้ย ดีกว่าลุย ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจโบ๋นี้
คำแปล:","My friends around me like to travel abroad, but I feel it's expensive. So I travel in Thailand instead. The weather is good, no need to spend money. Why do I have to travel abroad anyway? I don't understand.","My friends around me like to travel abroad, but I feel it's expensive. So I travel in Thailand instead. The weather is good, no need to spend money. Why do I have to travel abroad anyway? I don't understand.","My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เขากำลังช่วยกันทำความสะอาดเริ่นเพราะที่เริ่นยังโคลนจังเสีย หลังจากเกิดเหตุการณ์น้ำท่วมแร็กอาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเหลย
คำแปล:",Boo is helping to clean up because the yard is still muddy a lot after the flood last week. It will take a long time to clean up.,Boo is helping to clean up because the yard is still muddy a lot after the flood last week. It will take a long time to clean up.,They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: พ่อกับแม่ชอบไปทำงานสวนหนัดเพราะที่สวนบรรยากาศดีไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
คำแปล:",พ่อกับแม่ชอบไปทำงานสวนเพราะที่นั่นมีบรรยากาศดี ไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก,phokabaemchobaipthamnganswnephraathinanmibrryakasdi aimmiaikhrmangwn rwmaipthuengwiwphuekhathiduswyngamehmueonhludekhaaipoikolk,"Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: เมนูน้ำชุปหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ ดีปลี หอมเแดง หัวเทียม
คำแปล:","Menu nam chup num (น้ำชุปหนุ่ม) is a specialty dish of the northern region. The main ingredients are dill, red onion, and shallot.","Menu nam chup num (namchuphnum) is a specialty dish of the northern region. The main ingredients are dill, red onion, and shallot.","Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เรา ตอนเที่ยงยังใครที่อาดไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรมั้งม่าย?
คำแปล:","Boo, still anyone go eat Som Tam Gai Yang at Khrua Kun Kruam?","Boo, still anyone go eat Som Tam Gai Yang at Khrua Kun Kruam?",Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: วันนี้ตื่นหัวรุ่งเพราะจะไปแลแข่งแล่นควาย อากาศร้อนอีตาย หลบเริ่นมา เลยนอนพักเพราะเจ็บเบ็ดหัวแปลบ
คำแปล:","Today I wake up with a headache because I'm going to ride a buffalo. The air is hot, I'm tired, so I take a rest because my head hurts.","Today I wake up with a headache because I'm going to ride a buffalo. The air is hot, I'm tired, so I take a rest because my head hurts.","I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ไซร้ฉ้านต้องทำงานนี้แล้วหล่าว แก้มาจังเสียแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำไหร่อยู่ ฉันเหนื่อยแค่แล้ว
คำแปล:","I have to work on this, but it's already late, it's already delayed, and I don't know what I'm doing. I'm so tired.","I have to work on this, but it's already late, it's already delayed, and I don't know what I'm doing. I'm so tired.","Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted."
