Input,Pred,Pred_Latin,Gold
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋นักเรียนชอบไปเดินเล่นกับอาจารย์หวันเย็น เพราะอากาศมันเย็นบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
คำแปล:","The students like to go for a walk with Professor Hwan in the evening because the weather is cool and comfortable. They get to exercise, and the surrounding forest along the path makes the air very good too.","The students like to go for a walk with Professor Hwan in the evening because the weather is cool and comfortable. They get to exercise, and the surrounding forest along the path makes the air very good too.","The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ขับรถเครื่องไปซื้อกาแควที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านเอิน ไม่หร่อยเลย จะไม่หลบซื้ออีกแล้ว หร๊าบแล้ว ร้านนี้
คำแปล:","Rode the motorcycle to buy iced coffee at the entrance of the alley, but found that the usual shop I like to eat at was closed. So, I rode to buy from another shop. It wasn't delicious at all. I won't go back to buy from this shop again.","Rode the motorcycle to buy iced coffee at the entrance of the alley, but found that the usual shop I like to eat at was closed. So, I rode to buy from another shop. It wasn't delicious at all. I won't go back to buy from this shop again.","I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ฉ้านอยากอีสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉ้านเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายฉ้านสอบไม่ติด เสียใจหนัดเหนียน
คำแปล:","I want to take the entrance exam to Suankularb School because I think it's a good school. So I studied very hard to get into this school. In the end, I didn't pass the exam. I'm very sad.","I want to take the entrance exam to Suankularb School because I think it's a good school. So I studied very hard to get into this school. In the end, I didn't pass the exam. I'm very sad.","I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกดายของเบี้ย เลยไปเที่ยวเลในไทยแทน อากาศก็ดี ไม่เปลื้องเบี้ย ดีกว่าลุย ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจโบ๋นี้
คำแปล:","My friends around me like to travel abroad, but I feel it's a waste of money, so I travel to the sea in Thailand instead. The weather is good, not wasting money, better than struggling. Why do we have to go abroad? I don't understand this.","My friends around me like to travel abroad, but I feel it's a waste of money, so I travel to the sea in Thailand instead. The weather is good, not wasting money, better than struggling. Why do we have to go abroad? I don't understand this.","My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เขากำลังช่วยกันทำความสะอาดเริ่นเพราะที่เริ่นยังโคลนจังเสีย หลังจากเกิดเหตุการณ์น้ำท่วมแร็กอาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเหลย
คำแปล:",Bo is helping to clean the yard because the yard is still very muddy after the flood event last week. It will take a long time to clean.,Bo is helping to clean the yard because the yard is still very muddy after the flood event last week. It will take a long time to clean.,They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: พ่อกับแม่ชอบไปทำงานสวนหนัดเพราะที่สวนบรรยากาศดีไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
คำแปล:","Father and mother like to go work in the garden a lot because the garden has a good atmosphere, no one comes to bother, including the mountain view that looks beautiful like stepping into another world.","Father and mother like to go work in the garden a lot because the garden has a good atmosphere, no one comes to bother, including the mountain view that looks beautiful like stepping into another world.","Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: เมนูน้ำชุปหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ ดีปลี หอมเแดง หัวเทียม
คำแปล:","The young soup menu is a famous dish of the northern region, with main ingredients being long pepper, shallots, and garlic.","The young soup menu is a famous dish of the northern region, with main ingredients being long pepper, shallots, and garlic.","Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: โบ๋เรา ตอนเที่ยงยังใครที่อาดไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรมั้งม่าย?
คำแปล:","Our group, at noon, is there anyone who wants to go eat papaya salad and grilled chicken at Khun Krom's kitchen?","Our group, at noon, is there anyone who wants to go eat papaya salad and grilled chicken at Khun Krom's kitchen?",Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: วันนี้ตื่นหัวรุ่งเพราะจะไปแลแข่งแล่นควาย อากาศร้อนอีตาย หลบเริ่นมา เลยนอนพักเพราะเจ็บเบ็ดหัวแปลบ
คำแปล:","Today woke up early because going to watch buffalo racing. The weather is extremely hot. Came back home, so took a rest because of a splitting headache.","Today woke up early because going to watch buffalo racing. The weather is extremely hot. Came back home, so took a rest because of a splitting headache.","I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache."
"แปลข้อความต่อจากนี้ ภาษาใต้ เป็น ภาษาอังกฤษ ให้การแปลของเติ้ลแปลตรงตัวเลย ไม่ต้องไสข้อมูลเพิ่มเติมไหร
ข้อความ: ไซร้ฉ้านต้องทำงานนี้แล้วหล่าว แก้มาจังเสียแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำไหร่อยู่ ฉันเหนื่อยแค่แล้ว
คำแปล:",Why do I have to do this work again? You came and messed it up again. It's never finished. The person who ordered the fix doesn't even know what they're doing. I'm so tired already.,Why do I have to do this work again? You came and messed it up again. It's never finished. The person who ordered the fix doesn't even know what they're doing. I'm so tired already.,"Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted."
