Dataset,ID,english,center,north,east,south
,ปิง,"The group of students enjoys going for evening walks with their teacher because the weather is cool. They get some exercise, and the surrounding trees along the path make the air feel very refreshing.",กลุ่มนักเรียนชอบไปเดินเล่นกับอาจารย์ในช่วงเย็น เพราะอากาศมันเย็นสบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย,กลุ่มนักเฮียนชอบไปเตียวเล่นกับอาจารย์ในช่วงเมื่อแลง เพราะอากาศมันเย็นสบายได้ออกกำลังกายและป่าไม้รอบๆตางเตียวก่ยะฮื้ออากาศดีมากๆโตย,ซุมนักเรียนมักไปย่างเล่นนำอาจารย์ยามมื้อแลง ย้อนอากาศเย็นสบาย ได้ออกกำลังกายและป่าไม้รอบๆ หม่องย่างก็เฮ็ดให้อากาศดีหลายคัก,โบ๋นักเรียนชอบไปเดินเล่นกับอาจารย์หวันเย็น เพราะอากาศมันเย็นบาย ได้ออกกำลังกายและป่าไม้รอบๆทางเดินก็ทำให้อากาศดีมากๆด้วย
,ปิง,"I rode my motorcycle to buy coffee at the entrance of the alley, only to find that my favorite shop was closed. So, I went to try a new place instead. It wasn't good at all. I wouldn't go buy it there again.",ขับรถมอเตอร์ไซไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านใหม่ ไม่อร่อยเลย จะไม่ไปซื้ออีกแล้ว,ขับรถเครื่องไปซื้อกาแฟที่หน้าปากซอย แต่ก็พบว่าฮ้านประจำตี้ชอบกิ๋นมันปิดไปแล้ว ก่อเลยขับรถไปซื้อฮ้านใหม่ บ่อลำเลย จะบ่ไปซื้อแหมแล้ว,ขับรถเครื่องไปซื้อกาแฟหน้าปากซอย แต่ก็พ้อว่าร้านประจำที่มักกินปิดไปแล้ว ก็เลยขับรถไปรถไปซื้อร้านใหม่ บ่แซบเลย สิบ่ไปซื้ออีกแล้ว,ขับรถเครื่องไปซื้อกาแควที่หน้าปากซอย แต่ก็พบว่าร้านประจำที่ชอบกินมันปิดไปแล้ว ก็เลยขับรถไปซื้อร้านเอิน ไม่หร่อยเลย จะไม่หลบซื้ออีกแล้ว หร๊าบแล้ว ร้านนี้
,ปิง,"I wanted to get into Suankularb School because I thought it was a great school. So, I studied really hard to pass the entrance exam. In the end, I didn’t make it, and I was very disappointed.",ฉันอยากสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉันเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายสอบไม่ติด เสียใจมาก,ฮาอยากจะสอบเข้าโฮงเฮียนสวนกุหลาบเพราะกึดว่าเป็นโฮงเฮียนตี้ดี ฮาเลยตั้งใจเฮียนนักๆ เพื่อตี้จะสอบเข้าตี้นี่หื้อได้ สุดท้ายสอบบ่ติด เสียใจขนาด,ข้อยอยากสอบเข้าโรงเรียนสวนกุหลาบย้อนคึดว่าเป็นโรงเรียนที่ดี ข้อยเลยตั้งใจเรียนหลายๆ ให้สอบเข้าหม่องนี้ให้ได้ สุดท้ายสอบบ่ติด เสียใจคัก,ฉ้านอยากอีสอบเข้าโรงเรียนสวนกุหลาบเพราะคิดว่าเป็นโรงเรียนที่ดี ฉ้านเลยตั้งใจเรียนมากๆเพื่อที่จะสอบเข้าที่นี้ให้ได้ สุดท้ายฉ้านสอบไม่ติด เสียใจหนัดเหนียน 
,ปิง,"My friends all love traveling abroad, but I feel it's a waste of money. So, I’d rather go to the beach in Thailand instead. The weather is great, the prices are cheap—it’s so much better! I really don’t understand why people go abroad.",เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกเสียดายเงิน เลยไปเที่ยวทะเลในไทยแทน อากาศก็ดี ราคาก็ถูก ดีกว่าเยอะ ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจ,จะหมู่รอบตัวชอบไปแอ่วเมืองนอก แต่ฮู้สึกเสียดายเงิน เลยไปแอ่วทะเลในไทยแทน อากาศก่อดี ราคาก่ถูก ดีกว่าเยอะ เยียะหยังต้องไปเมืองนอกโตย บ่เข้าใจ,หมู่รอบโตมักไปเที่ยวเมืองนอก แต่รู้สึกเสียดายเงิน เลยไปเที่ยวทะเลในไทยแทน อากาศก็ดี ราคาก็ถืก ดีก่อนหลาย เป็นหยังต้องไปเมืองนอกนำบ่เข้าใจ,โบ๋เพื่อนๆรอบตัวชอบไปเที่ยวเมืองนอก แต่รู้สึกดายของเบี้ย เลยไปเที่ยวเลในไทยแทน อากาศก็ดี ไม่เปลื้องเบี้ย ดีกว่าลุย ทำไมต้องไปเมืองนอกกันด้วย ไม่เข้าใจโบ๋นี้
,กร,They are helping each other clean the house because it’s full of mud after the flooding incident last week. It’s going to take a long time to clean up.,พวกเขากำลังช่วยกันทำความสะอาดบ้านเพราะที่บ้านมีแต่โคลนเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเลย,สูเขากำลังช่วยกันทำความสะอาดบ้านเพราะตี้บ้านมีแต่ขี้เปอะเต็มไปหมด หลังจากเกิดเหตุการณ์น้ำท่วมเมื่ออาติ้ดตี้ผ่านมา ต้องทำความสะอาดแหมเมินเลย,[ซุม]ขะเจ้ากำลังซอยกันเฮ็ดความสะอาดเฮือนย้อนเฮือนมีแต่โคลนเต็มไปเบิด หลังจากเกิดเหตุการณ์น้ำท่วมตอนอาทิตย์ที่ผ่านมา ต้องเฮ็ดความสะอาดอีกดนเลย,โบ๋เขากำลังช่วยกันทำความสะอาดเริ่นเพราะที่เริ่นยังโคลนจังเสีย หลังจากเกิดเหตุการณ์น้ำท่วมแร็กอาทิตย์ที่ผ่านมา  ต้องทำความสะอาดอีกนานเหลย
,กร,"Dad and mom love working in the garden because the atmosphere is nice and peaceful, plus there’s a beautiful mountain view that feels like stepping into another world.",พ่อกับแม่ชอบไปทำงานที่สวนมากเพราะที่สวนบรรยากาศดีและสงบ รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก,ป้อกับแม่ชอบไปยะกั๋นตี้สวนมากเพราะตี้สวนบรรยากาศดีและสงบ รวมไปถึงวิวเขาตี้ดูสวยงามเหมือนหลุดเข้าไปแหมโลก,พ่อกับแม่มักไปเฮ็ดเวียกหม่องสวนหลายย้อนบรรยากาศดีและสงบ รวมไปถึงวิวภูเขาก็งามป่านหลุดไปอีกโลก,พ่อกับแม่ชอบไปทำงานสวนหนัดเพราะที่สวนบรรยากาศดีไม่มีใครมางวน รวมไปถึงวิวภูเขาที่ดูสวยงามเหมือนหลุดเข้าไปอีกโลก
,กร,"Nam Prik Noom is a famous dish from the northern region, with key ingredients including chili peppers, shallots, and garlic.",เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม ,เมนูน้ำพริกหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมเแดง กระเทียม ,เมนูน้ำพริกหนุ่มแมนอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ พริกชี้ฟ้า หอมแดง กระเทียม ,เมนูน้ำชุปหนุ่มเป็นอาหารขึ้นชื่อของภาคเหนือ โดยมีวัตถุดิบหลักๆ คือ ดีปลี หอมเแดง หัวเทียม 
,กร,Anyone interested in joining us for papaya salad and grilled chicken at Khun Korn’s Kitchen for lunch?,พวกเราตอนเที่ยงมีใครสนใจไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรไหม?,หมู่เฮาตอนเที่ยงมีไผสนใจไปกินส้มตำไก่ย่างตี๋ร้านครัวคุณกรก่อ?,หมู่เฮาตอนเที่ยงมีไผอยากไปกินตำบักหุ่งร้านครัวคุณกรบ่?,โบ๋เรา ตอนเที่ยงยังใครที่อาดไปกินส้มตำไก่ย่างที่ร้านครัวคุณกรมั้งม่าย?
,แก้ม,"I woke up very early today to go watch the buffalo race. The weather was so hot that when I got back home, I had to take a rest because I had a headache.",วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งวิ่งควาย อากาศร้อนมาก กลับบ้านมาเลยนอนพักเพราะปวดหัว ,วันนี้ตื่นเช้ามากเพราะจะไปดูแข่งล่นควาย อากาศฮ้อนขนาด ปิ๊กบ้านมาเลยนอนพักเพราะปวดหัว,มื้อนี้ตื่นเช้าหลายย้อนสิไปเบิ่งแข่งวิ่งควาย อากาศร้อนแฮง เมือเฮือนมาเลยนอนพักย้อนปวดหัว,วันนี้ตื่นหัวรุ่งเพราะจะไปแลแข่งแล่นควาย อากาศร้อนอีตาย หลบเริ่นมา เลยนอนพักเพราะเจ็บเบ็ดหัวแปลบ 
,แก้ม,"Why do I have to do this work again? I’ve revised it so many times, but it’s never finished. The person who keeps asking for revisions doesn’t even know what they’re doing. I’m so exhausted.",ทำไมฉันต้องทำงานนี้อีกแล้ว แก้มาหลายรอบแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำอะไรอยู่ ฉันเหนื่อยมากนะ,เยี๊ยะหยังฮาต้องยะกั๋นนี้แหมแล้ว แก้มาหลายเตื้อละ บ่แล้วสักกำ คนสั่งหื้อแก้ก่บ่ฮู้ว่าตัวเก่ายะหยังอยู่ ฮาอิ๊ดขนาด,เป็นหยังข้อยต้องเฮ็ดงานนี้อีกแล้ว แก้มาหลายเทือแล้ว บ่แล้วจักเทือ คนสั่งให้แก้ก็บ่ฮู้ว่าเจ้าของเฮ็ดอิหยังอยู่ ข้อยเหมื่อยแฮง,ไซร้ฉ้านต้องทำงานนี้แล้วหล่าว แก้มาจังเสียแล้ว ไม่เสร็จสักที คนสั่งให้แก้ก็ไม่รู้ว่าตัวเองทำไหร่อยู่ ฉันเหนื่อยแค่แล้ว
