Input,Pred,Pred_Latin,Gold
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ ประเพณีท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""อ๋อ...วันนี้เป็นวันสงกรานต์แล้วเหรอ...ได้เวลาเล่นน้ำกันแล้วนะ...แต่ขอให้จำไว้ว่า...ต้องทำพิธีให้น้ำ...แล้วก็เอาน้ำไปล้างพระ...แล้วค่อยเล่นน้ำกันนะ""","""oo...wanniepnwansngkrantaelwehro...aidewlaelnnamkanaelwna...aetkhoaihchamaiwwa...tongthamphithiaihnam...aelwkeoanamaiplangphra...aelwkhoyelnnamkanna""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ อาชีพ บทพูดไม่ควรเกิน 5 ตา,"""อ๋อ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตกปลาได้ปลาหลายแล้วเหรอ...ปะอาไปตก","""oo...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptkplaaidplahlayaelwehro...paoaaiptk",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ การคมนาคม บทพูดไม่ควรเกิน 5 ตา,"""อ้าววว มาเดินทางไหวไหมเนี่ย มีเรือ มีรถ มีเครื่องบิน มีหลายทางเลือกแล้ว แต่ถ้าอยากจะไปเร็ว ๆ ก็ขึ้นเครื่องบินไปเลยสิ""","""oawww maedinthangaihwaihmeniy mierueo mirth miekhrueongbin mihlaythangelueokaelw aetthaoyakchaaiperw - kkhuenekhrueongbinaipelysi""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ ครอบครัว บทพูดไม่ควรเกิน 5 ตา,"""อ้ายบ่เคยคิดว่าชีวิตนี้มันจะง่าย ๆ จัง แต่พ่อแม่สอนไว้ว่าชีวิตคือการดิ้นรน พ่อแม่สอนให้อ้ายรู้จักอดทน อ้ายก็เลยอดทนมา จนถึงทุกวันนี้""","""oaybekhykhidwachiwitnimanchangay - chang aetphoaemsonaiwwachiwitkhueokardinrn phoaemsonaihoayruchakodthn oaykelyodthnma chnthuengthukwanni""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ กลับบ้านช่วงเทศกาล บทพูดไม่ควรเกิน 5 ตา,"""อ้าววว...ปีหน้าถ้าได้โอกาสก็อยากกลับบ้านช่วงเทศกาลเหมือนเดิมนะคะ""","""oawww...pihnathaaidookaskoyakklabbanchwngethskalehmueonedimnakha""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ การเมืองท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""อ๋อ...ปัญหาเรื่องการเมืองท้องถิ่นเนี่ย มันซับซ้อนเหมือนกับป่าเขาใต้นี่แหละ มีหลายเสียงหลายทาง แต่สุดท้ายก็ยังวนเวียนอยู่กับเรื่องเดิมๆ ไม่ไปไหนสักแห่ง""","""oo...payhaerueongkaremueongthongthineniy mansabsonehmueonkabpaekhaaitniaehla mihlayesiynghlaythang aetsudthaykyangwnewiynoyukaberueongedim- aimaipaihnsakaehng""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ สภาพอากาศ บทพูดไม่ควรเกิน 5 ตา,"""อ้าววว อากาศวันนี้ร้อนจังเลยนะ มันร้อนจนต้องหาอะไรเย็นๆ กินกันบ้าง""","""oawww oakaswannironchangelyna manronchntonghaoaaireyn- kinkanbang""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ อาหารท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""อ้าวววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววววว","""oawwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ เครื่องแต่งกายท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""อ้าววว... อ้ายชอบใส่เสื้อผ้าผ้าถุงมือไหม่ มันสบายตัวดี อ้ายใส่ไปทำนา ไปตลาด ไปงานมงคลต่างๆ ก็ได้หมดเลยนะ""","""oawww... oaychobaisesueophaphathungmueoaihm mansbaytawdi oayaisaipthamna aiptlad aipnganmngkhltang- kaidhmdelyna""",.
ให้เขียนบทพูดของคนใต้ โดยแหลงเกี่ยวกับ การศึกษาท้องถิ่น บทพูดไม่ควรเกิน 5 ตา,"""อ๋อ...การศึกษาท้องถิ่นเป็นเรื่องสำคัญมากเลยนะคะ มันช่วยให้เด็กๆ ได้เรียนรู้เกี่ยวกับวัฒนธรรม ประเพณี และภาษาของท้องถิ่นของตัวเอง ซึ่งจะช่วยให้พวกเขาเข้าใจและภาคภูมิใจในความเป็นคนใต้มากขึ้น นอกจากนี้การศึกษาท้องถิ่นยังช่วยให้เด็กๆ ได้เรียนรู้เกี่ยวกับประวัติศาสตร์และภูมิศาสตร์ของท้องถิ่น ซึ่งจะช่วยให้พวกเขาเข้าใจถึงความสำคัญของท้องถิ่นและสามารถอนุรักษ์ไว้ให้ลูกหลานได้""","""oo...karsueksathongthinepnerueongsamkhaymakelynakha manchwyaihedk- aideriynruekiywkabwathnthrrm praephni aelaphasakhongthongthinkhongtaweong suengchachwyaihphwkekhaekhaaichaelaphakhphumiaichainkhwamepnkhnaitmakkhuen nokchaknikarsueksathongthinyangchwyaihedk- aideriynruekiywkabprawatisastraelaphumisastrkhongthongthin suengchachwyaihphwkekhaekhaaichthuengkhwamsamkhaykhongthongthinaelasamarthonuraksaiwaihlukhlanaid""",.
